"filename", "language", "Markdown", "Python", "JSON", "pip requirements", "Ini", "comment", "blank", "total"
"d:\project\steam-mod-manager\ui\offline_open.py", "Python", 0, 212, 0, 0, 0, 5, 33, 250
"d:\project\steam-mod-manager\ui\platform_labels.py", "Python", 0, 173, 0, 0, 0, 15, 39, 227
"d:\project\steam-mod-manager\ui\popup_trace.py", "Python", 0, 86, 0, 0, 0, 8, 21, 115
"d:\project\steam-mod-manager\ui\startup_lifecycle.py", "Python", 0, 118, 0, 0, 0, 4, 31, 153
"d:\project\steam-mod-manager\ui\styles.py", "Python", 0, 1256, 0, 0, 0, 52, 157, 1465
"d:\project\steam-mod-manager\ui\sync_thread.py", "Python", 0, 225, 0, 0, 0, 18, 29, 272
"d:\project\steam-mod-manager\ui\sync_view.py", "Python", 0, 494, 0, 0, 0, 26, 85, 605
"d:\project\steam-mod-manager\ui\widget_show_trace.py", "Python", 0, 126, 0, 0, 0, 17, 33, 176
"d:\project\steam-mod-manager\ui\window_chrome.py", "Python", 0, 590, 0, 0, 0, 69, 87, 746
"d:\project\steam-mod-manager\ui\window_lifecycle.py", "Python", 0, 204, 0, 0, 0, 40, 47, 291
"Total", "-", 4609, 182825, 24, 10, 9, 16372, 30396, 234245
